TeamName,League,Season,Division,Franchise,Team,W,L,%,Year
Dallas Mavericks,,(2015-16),Southwest Division,Dallas Mavericks,DAL,42,40,51.20%,2015
Memphis Grizzlies,,(2015-16),Southwest Division,Memphis Grizzlies,MEM,42,40,51.20%,2015
Houston Rockets,,(2015-16),Southwest Division,Houston Rockets,HOU,41,41,50.00%,2015
New Orleans Pelicans,,(2015-16),Southwest Division,New Orleans Pelicans,NOP,30,52,36.60%,2015
Boston Celtics,,(2016-17),Atlantic Division,Boston Celtics,BOS,53,29,64.60%,2016
Toronto Raptors,,(2016-17),Atlantic Division,Toronto Raptors,TOR,51,31,62.20%,2016
New York Knicks,,(2016-17),Atlantic Division,New York Knicks,NYK,31,51,37.80%,2016
Philadelphia 76ers,,(2016-17),Atlantic Division,Philadelphia 76ers,PHI,28,54,34.10%,2016
Brooklyn Nets,,(2016-17),Atlantic Division,Brooklyn Nets,BRK,20,62,24.40%,2016
Cleveland Cavaliers,,(2016-17),Central Division,Cleveland Cavaliers,CLE,51,31,62.20%,2016
Milwaukee Bucks,,(2016-17),Central Division,Milwaukee Bucks,MIL,42,40,51.20%,2016
Indiana Pacers,,(2016-17),Central Division,Indiana Pacers,IND,42,40,51.20%,2016
Chicago Bulls,,(2016-17),Central Division,Chicago Bulls,CHI,41,41,50.00%,2016
Detroit Pistons,,(2016-17),Central Division,Detroit Pistons,DET,37,45,45.10%,2016
Washington Wizards,,(2016-17),Southeast Division,Washington Wizards,WAS,49,33,59.80%,2016
Atlanta Hawks,,(2016-17),Southeast Division,Atlanta Hawks,ATL,43,39,52.40%,2016
Miami Heat,,(2016-17),Southeast Division,Miami Heat,MIA,41,41,50.00%,2016
Charlotte Hornets,,(2016-17),Southeast Division,Charlotte Hornets,CHO,36,46,43.90%,2016
Orlando Magic,,(2016-17),Southeast Division,Orlando Magic,ORL,29,53,35.40%,2016
Golden State Warriors,,(2016-17),Pacific Division,Golden State Warriors,GSW,67,15,81.70%,2016
Los Angeles Clippers,,(2016-17),Pacific Division,Los Angeles Clippers,LAC,51,31,62.20%,2016
Sacramento Kings,,(2016-17),Pacific Division,Sacramento Kings,SAC,32,50,39.00%,2016
Los Angeles Lakers,,(2016-17),Pacific Division,Los Angeles Lakers,LAL,26,56,31.70%,2016
Phoenix Suns,,(2016-17),Pacific Division,Phoenix Suns,PHO,24,58,29.30%,2016
Utah Jazz,,(2016-17),Northwest Division,Utah Jazz,UTA,51,31,62.20%,2016
Oklahoma City Thunder,,(2016-17),Northwest Division,Oklahoma City Thunder,OKC,47,35,57.30%,2016
Portland Trail Blazers,,(2016-17),Northwest Division,Portland Trail Blazers,POR,41,41,50.00%,2016
Denver Nuggets,,(2016-17),Northwest Division,Denver Nuggets,DEN,40,42,48.80%,2016
Minnesota Timberwolves,,(2016-17),Northwest Division,Minnesota Timberwolves,MIN,31,51,37.80%,2016
San Antonio Spurs,,(2016-17),Southwest Division,San Antonio Spurs,SAS,61,21,74.40%,2016
Houston Rockets,,(2016-17),Southwest Division,Houston Rockets,HOU,55,27,67.10%,2016
Memphis Grizzlies,,(2016-17),Southwest Division,Memphis Grizzlies,MEM,43,39,52.40%,2016
New Orleans Pelicans,,(2016-17),Southwest Division,New Orleans Pelicans,NOP,34,48,41.50%,2016
Dallas Mavericks,,(2016-17),Southwest Division,Dallas Mavericks,DAL,33,49,40.20%,2016
Toronto Raptors,,(2017-18),Atlantic Division,Toronto Raptors,TOR,59,23,72.00%,2017
Boston Celtics,,(2017-18),Atlantic Division,Boston Celtics,BOS,55,27,67.10%,2017
Philadelphia 76ers,,(2017-18),Atlantic Division,Philadelphia 76ers,PHI,52,30,63.40%,2017
New York Knicks,,(2017-18),Atlantic Division,New York Knicks,NYK,29,53,35.40%,2017
Brooklyn Nets,,(2017-18),Atlantic Division,Brooklyn Nets,BRK,28,54,34.10%,2017
Cleveland Cavaliers,,(2017-18),Central Division,Cleveland Cavaliers,CLE,50,32,61.00%,2017
Indiana Pacers,,(2017-18),Central Division,Indiana Pacers,IND,48,34,58.50%,2017
Milwaukee Bucks,,(2017-18),Central Division,Milwaukee Bucks,MIL,44,38,53.70%,2017
Detroit Pistons,,(2017-18),Central Division,Detroit Pistons,DET,39,43,47.60%,2017
