Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Pete Maravich,NOJ,17.6,0.1,1.1,2.9,-1.61,1978
Louie Dampier,SAS,13.7,-1.6,0.2,4.0,2.9,1978
Jim Cleamons,NYK,10.4,-1.3,0.3,2.7,-0.47,1978
Chuck Williams,BUF,9.5,-3.7,-0.9,1.3,-3.25,1978
Elmore Smith,CLE,19.9,0.2,1.1,6.8,0.45,1978
Leon Douglas,DET,13.6,-1.2,0.4,3.6,-1.14,1978
Adrian Dantley,LAL,19.8,3.6,2.8,7.7,2.37,1978
Butch Beard,NYK,14.6,0.5,1.2,4.4,-0.47,1978
Jim McMillian,NYK,12.5,-0.9,0.6,3.4,-0.47,1978
Robert Parish,GSW,17.2,-0.8,0.6,4.0,0.35,1978
Fred Brown,SEA,19.6,1.6,1.8,6.7,1.41,1978
Don Ford,LAL,11.6,0.1,1.0,3.5,2.37,1978
Charlie Criss,ATL,14.8,-1.8,0.1,3.7,-0.09,1978
Bill Walton,POR,24.8,6.4,4.1,8.4,5.56,1978
Ron Lee,PHO,16.2,2.0,2.0,3.8,3.02,1978
Alvan Adams,PHO,17.7,1.9,1.9,4.9,3.02,1978
Otis Birdsong,KCK,17.1,-1.0,0.5,4.2,-1.55,1978
Junior Bridgeman,MIL,17.0,-0.6,0.7,4.0,-0.59,1978
Coby Dietrick,SAS,11.3,-0.2,0.9,2.5,2.9,1978
Eddie Johnson,ATL,13.6,-0.9,0.5,3.5,-0.09,1978
Earl Tatum,IND,14.2,-0.1,0.9,3.1,-2.13,1978
Paul Griffin,NOJ,10.9,0.8,1.3,2.9,-1.61,1978
Robert Reid,HOU,11.3,-0.3,0.8,2.3,-3.66,1978
Dave Twardzik,POR,14.3,1.0,1.4,5.5,5.56,1978
Steve Mix,PHI,14.8,0.9,1.3,5.1,4.36,1978
John Johnson,SEA,11.9,-1.8,0.1,2.1,1.41,1978
Scott May,CHI,12.7,-0.7,0.6,3.1,-0.79,1978
E.C. Coleman,GSW,9.1,-0.5,0.7,2.7,0.35,1978
Jim Brewer,CLE,10.5,0.5,1.2,2.6,0.45,1978
Tree Rollins,ATL,15.6,2.2,1.9,5.0,-0.09,1978
Mark Olberding,SAS,12.1,-0.5,0.7,3.9,2.9,1978
John Mengelt,CHI,14.5,-2.5,-0.2,3.9,-0.79,1978
Spencer Haywood,NYK,15.7,-1.1,0.4,3.1,-0.47,1978
Jim McElroy,NOJ,13.6,-2.2,-0.1,2.9,-1.61,1978
Mitch Kupchak,WSB,17.7,-0.8,0.5,4.9,0.7,1978
Bill Robinzine,KCK,13.6,-2.3,-0.1,3.0,-1.55,1978
Darryl Dawkins,PHI,18.0,1.1,1.4,6.4,4.36,1978
Tom Owens,POR,17.4,2.0,1.7,6.0,5.56,1978
Wil Jones,BUF,9.4,-1.7,0.1,0.9,-3.25,1978
Ollie Johnson,ATL,13.9,-0.1,0.8,3.6,-0.09,1978
Tom McMillen,ATL,13.3,-0.7,0.6,3.9,-0.09,1978
James Edwards,IND,14.8,-2.8,-0.3,3.3,-2.13,1978
Walt Frazier,CLE,17.5,2.0,1.7,4.6,0.45,1978
Charles Dudley,GSW,13.4,-0.6,0.6,3.6,0.35,1978
Jo Jo White,BOS,11.9,-1.6,0.2,1.7,-1.68,1978
Caldwell Jones,PHI,11.3,0.0,0.8,3.1,4.36,1978
Dennis Awtrey,PHO,6.1,-2.4,-0.2,1.0,3.02,1978
Anthony Roberts,DEN,12.2,-3.7,-0.7,1.9,0.75,1978
John Brown,ATL,11.4,0.2,0.9,3.7,-0.09,1978
Bingo Smith,CLE,14.3,-2.8,-0.3,2.5,0.45,1978
Alex English,MIL,17.4,0.4,0.9,4.0,-0.59,1978
Ray Williams,NYK,14.5,-1.1,0.4,1.0,-0.47,1978
Alvin Scott,PHO,12.3,0.1,0.8,4.0,3.02,1978
Tom Burleson,KCK,16.5,1.7,1.4,4.3,-1.55,1978
Jamaal Wilkes,LAL,16.1,1.8,1.4,3.3,2.37,1978
Allan Bristow,SAS,14.6,-0.2,0.7,2.8,2.9,1978
Tim Bassett,NJN,8.6,-1.8,0.1,1.1,-4.89,1978
Larry Wright,WSB,13.7,-1.7,0.1,2.7,0.7,1978
John Williamson,IND,12.0,-3.9,-0.7,0.6,-2.13,1978
Jan Van Breda Kolff,NJN,7.5,-1.7,0.1,1.2,-4.89,1978
Charlie Scott,LAL,12.3,-1.4,0.2,1.6,2.37,1978
Marvin Barnes,BUF,14.1,0.3,0.8,1.8,-3.25,1978
Corky Calhoun,POR,10.8,-0.4,0.6,3.1,5.56,1978
Len Elmore,IND,12.5,-0.3,0.6,2.1,-2.13,1978
