Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Tom Garrick,DAL,11.3,-3.1,0.0,0.0,-7.92,1992
Gerald Henderson,DET,10.1,-3.5,0.0,0.1,2.13,1992
Albert King,WSB,14.3,-4.2,0.0,0.1,-4.53,1992
Demetrius Calip,LAL,1.8,-10.1,-0.1,-0.2,-1.02,1992
Greg Grant,CHH,8.1,-6.8,-0.1,-0.1,-3.28,1992
John Morton,CLE,6.7,-5.6,0.0,0.0,5.53,1992
Jaren Jackson,GSW,12.2,-4.3,0.0,0.1,3.41,1992
Chucky Brown,CLE,10.4,-1.7,0.0,0.1,5.53,1992
Lanard Copeland,LAC,4.0,-8.8,-0.1,-0.1,1.08,1992
Kenny Battle,GSW,13.5,-2.0,0.0,0.1,3.41,1992
Tony Massenburg,BOS,4.1,-9.3,-0.1,0.0,3.62,1992
Kenny Battle,BOS,13.2,-3.1,0.0,0.2,3.62,1992
Steve Scheffler,DEN,13.2,-2.6,0.0,0.2,-7.61,1992
Tharon Mayes,LAC,4.3,-3.7,0.0,0.0,1.08,1992
Dave Hoppen,PHI,2.7,-10.6,-0.1,-0.1,-1.48,1992
Bob Hansen,SAC,5.3,-5.2,0.0,0.0,-5.42,1992
Sean Higgins,SAS,9.0,-5.1,0.0,0.0,2.87,1992
Milos Babic,MIA,18.3,-2.7,0.0,0.0,-3.97,1992
Gerald Henderson,HOU,4.3,-10.3,-0.1,-0.1,-2.16,1992
Travis Mays,ATL,8.6,-6.7,0.0,0.0,-1.1,1992
Michael Ansley,PHI,9.5,-7.2,0.0,0.0,-1.48,1992
Carl Thomas,SAC,6.4,-10.1,-0.1,0.0,-5.42,1992
Jerome Lane,IND,10.2,0.7,0.0,0.0,1.95,1992
Jud Buechler,NJN,11.8,-1.3,0.0,0.0,-1.4,1992
Dave Popson,MIL,6.9,-2.7,0.0,0.0,-1.49,1992
Ron Grandison,CHH,14.6,-4.8,0.0,0.0,-3.28,1992
Myron Brown,MIN,14.7,-4.7,0.0,0.0,-7.12,1992
Tony Massenburg,GSW,18.3,-13.4,-0.1,0.1,3.41,1992
Rex Chapman,WSB,7.2,-6.4,0.0,-0.1,-4.53,1992
Rory Sparrow,CHI,-5.5,-15.6,-0.1,-0.1,10.61,1992
Lamont Strothers,POR,6.0,-9.8,0.0,-0.1,6.91,1992
Kennard Winchester,HOU,-0.4,-9.5,0.0,0.0,-2.16,1992
Steve Scheffler,SAC,27.1,0.1,0.0,0.1,-5.42,1992
Stephen Thompson,ORL,-4.6,-12.6,0.0,-0.1,-6.65,1992
Patrick Eddie,NYK,-8.8,-23.1,-0.1,-0.1,3.77,1992
Morlon Wiley,SAS,12.2,-4.5,0.0,0.0,2.87,1992
Gary Leonard,ATL,32.4,9.0,0.0,0.1,-1.1,1992
Tony Massenburg,CHH,-12.4,-22.2,-0.1,-0.1,-3.28,1992
Michael Ansley,CHH,8.0,-15.6,0.0,0.0,-3.28,1992
Derek Strong,WSB,3.2,-14.1,0.0,0.0,-4.53,1992
Dennis Hopson,CHI,5.9,-0.8,0.0,0.0,10.61,1992
Chuck Nevitt,CHI,-13.6,-18.8,0.0,-0.1,10.61,1992
Carlton McKinney,NYK,-9.0,-31.3,-0.1,-0.1,3.77,1992
Tony Massenburg,SAS,-9.6,-18.9,0.0,0.0,2.87,1992
Joao Vianna,DAL,1.0,-18.2,0.0,0.0,-7.92,1992
Jon Sundvold,MIA,10.7,-12.9,0.0,0.0,-3.97,1992
Bob Thornton,UTA,1.7,-30.3,0.0,0.0,5.82,1992
Larry Robinson,BOS,-9.3,-8.9,0.0,-0.1,3.62,1992
Jerome Lane,MIL,19.1,-16.0,0.0,0.0,-1.49,1992
Mike Smrek,GSW,4.9,-10.6,0.0,0.0,3.41,1992
Dan Godfread,HOU,0.0,-6.4,0.0,0.0,-2.16,1992
Winston Bennett,MIA,29.9,-8.2,0.0,0.0,-3.97,1992
Billy Thompson,GSW,0.0,-5.2,0.0,0.0,3.41,1992
Steve Bardo,SAS,32.3,8.3,0.0,0.0,2.87,1992
Cedric Hunter,CHH,0.0,-6.6,0.0,0.0,-3.28,1992
Larry Johnson,CHH,18.9,3.3,4.5,9.6,-0.09,1993
Hakeem Olajuwon,HOU,27.3,7.6,7.9,15.8,3.88,1993
David Robinson,SAS,24.2,6.1,6.6,13.2,2.28,1993
Dan Majerle,PHO,15.4,3.9,4.8,9.8,6.17,1993
Reggie Lewis,BOS,17.4,2.2,3.3,8.3,0.92,1993
Scottie Pippen,CHI,19.2,4.3,4.9,8.6,6.51,1993
Mark Jackson,LAC,16.6,1.6,2.8,7.9,0.23,1993
Doug West,MIN,14.2,-1.7,0.2,4.3,-8.07,1993
Karl Malone,UTA,26.2,6.9,7.0,15.4,1.83,1993
Detlef Schrempf,IND,19.2,3.9,4.6,10.4,1.75,1993
Joe Dumars,DET,17.6,1.1,2.4,9.1,-1.04,1993
Scott Skiles,ORL,15.2,1.0,2.3,8.0,1.35,1993
Glen Rice,MIA,15.0,0.5,1.9,6.3,-0.94,1993
Shaquille O'Neal,ORL,22.9,3.4,4.2,10.4,1.35,1993
Michael Jordan,CHI,29.7,8.8,8.3,17.2,6.51,1993
Dikembe Mutombo,DEN,17.2,2.4,3.3,8.8,-2.19,1993
Patrick Ewing,NYK,20.8,1.9,3.0,10.6,6.13,1993
Chuck Person,MIN,12.2,-1.4,0.4,0.0,-8.07,1993
Hersey Hawkins,PHI,18.3,2.5,3.3,8.5,-5.12,1993
Ron Harper,LAC,16.1,2.3,3.2,6.0,0.23,1993
Reggie Miller,IND,19.4,3.5,4.1,11.3,1.75,1993
Isiah Thomas,DET,15.4,0.3,1.7,3.7,-1.04,1993
Nick Anderson,ORL,17.3,2.6,3.4,7.7,1.35,1993
Sedale Threatt,LAL,16.5,0.6,1.9,7.1,-1.31,1993
Terry Porter,POR,17.0,2.3,3.1,8.8,2.82,1993
Kevin Willis,ATL,17.4,-0.3,1.2,6.0,-0.67,1993
John Stockton,UTA,21.3,3.0,3.6,10.6,1.83,1993
Jeff Hornacek,PHI,18.2,2.1,3.0,6.3,-5.12,1993
Charles Barkley,PHO,25.9,7.9,7.2,14.4,6.17,1993
Muggsy Bogues,CHH,14.5,0.0,1.4,5.9,-0.09,1993
Christian Laettner,MIN,17.3,0.2,1.6,5.0,-8.07,1993
Mookie Blaylock,ATL,17.1,2.3,3.0,7.0,-0.67,1993
A.C. Green,LAL,16.3,2.0,2.8,8.6,-1.31,1993
Tom Gugliotta,WSB,14.6,0.4,1.7,1.6,-6.59,1993
Danny Manning,LAC,19.6,1.9,2.7,7.9,0.23,1993
Derrick Coleman,NJN,21.2,4.6,4.6,9.5,1.23,1993
Larry Nance,CLE,19.8,4.0,4.2,10.7,6.46,1993
LaPhonso Ellis,DEN,16.6,1.7,2.5,8.0,-2.19,1993
Horace Grant,CHI,17.5,3.6,3.9,9.1,6.51,1993
Latrell Sprewell,GSW,13.6,0.5,1.7,4.0,-1.12,1993
Dale Ellis,SAS,15.0,0.8,1.9,6.4,2.28,1993
Blue Edwards,MIL,16.4,0.8,1.9,5.7,-3.52,1993
Grant Long,MIA,14.7,1.6,2.5,6.5,-0.94,1993
Reggie Williams,DEN,15.8,1.7,2.5,5.9,-2.19,1993
Mahmoud Abdul-Rauf,DEN,15.6,-1.0,0.7,5.1,-2.19,1993
Brad Daugherty,CLE,22.0,4.8,4.6,12.7,6.46,1993
Harvey Grant,WSB,16.1,-0.6,0.9,5.0,-6.59,1993
Micheal Williams,MIN,19.0,1.9,2.6,7.6,-8.07,1993
Drazen Petrovic,NJN,17.3,1.8,2.5,8.4,1.23,1993
Clarence Weatherspoon,PHI,15.0,-1.8,0.1,3.3,-5.12,1993
Dominique Wilkins,ATL,24.3,3.3,3.5,10.5,-0.67,1993
Alonzo Mourning,CHH,20.8,0.0,1.3,8.2,-0.09,1993
Tim Hardaway,GSW,19.7,2.7,3.1,7.5,-1.12,1993
Sean Elliott,SAS,15.5,1.6,2.3,6.1,2.28,1993
Shawn Kemp,SEA,20.4,3.1,3.4,9.1,6.73,1993
Clifford Robinson,POR,18.8,1.5,2.3,6.8,2.82,1993
Craig Ehlo,CLE,14.2,2.5,2.9,6.2,6.46,1993
Jeff Malone,UTA,13.7,-3.5,-1.0,3.6,1.83,1993
Tyrone Corbin,UTA,14.4,2.5,2.9,6.7,1.83,1993
Gary Payton,SEA,17.0,3.0,3.2,7.8,6.73,1993
Kevin Gamble,BOS,15.1,1.7,2.4,6.6,0.92,1993
Vlade Divac,LAL,17.1,3.1,3.2,5.6,-1.31,1993
Lionel Simmons,SAC,15.5,0.6,1.7,3.8,-3.04,1993
Michael Adams,WSB,15.6,-0.2,1.1,4.6,-6.59,1993
Buck Williams,POR,11.9,0.3,1.5,6.1,2.82,1993
B.J. Armstrong,CHI,14.7,-0.9,0.7,7.5,6.51,1993
Anthony Mason,NYK,12.9,2.2,2.6,7.4,6.13,1993
Ken Norman,LAC,15.7,0.4,1.5,5.2,0.23,1993
John Starks,NYK,16.3,2.7,2.9,7.5,6.13,1993
Rod Strickland,POR,18.0,2.6,2.9,7.4,2.82,1993
Terry Davis,DAL,11.7,-4.9,-1.8,-0.1,-14.61,1993
Rony Seikaly,MIA,18.0,-0.7,0.8,6.5,-0.94,1993
Derrick McKey,SEA,15.0,2.5,2.8,6.6,6.73,1993
Eric Murdock,MIL,19.3,2.2,2.6,6.1,-3.52,1993
Kendall Gill,CHH,14.0,0.0,1.2,2.9,-0.09,1993
Kenny Smith,HOU,17.1,0.5,1.5,8.2,3.88,1993
Dennis Rodman,DET,13.6,1.0,1.8,5.5,-1.04,1993
Pooh Richardson,IND,14.5,-0.8,0.7,4.0,1.75,1993
Mark Price,CLE,22.1,3.2,3.1,9.8,6.46,1993
James Worthy,LAL,15.6,-1.5,0.3,3.0,-1.31,1993
Otis Thorpe,HOU,14.6,1.4,2.0,6.0,3.88,1993
Spud Webb,SAC,14.4,-1.0,0.6,3.9,-3.04,1993
Robert Horry,HOU,12.1,0.1,1.2,3.6,3.88,1993
Chris Morris,NJN,17.8,3.1,3.0,7.2,1.23,1993
Anthony Avent,MIL,10.2,-4.2,-1.3,0.3,-3.52,1993
Wayman Tisdale,SAC,15.7,-2.2,-0.1,4.5,-3.04,1993
Dale Davis,IND,16.3,2.2,2.4,6.9,1.75,1993
Dee Brown,BOS,17.2,2.7,2.7,6.4,0.92,1993
Vernon Maxwell,HOU,13.4,0.1,1.2,3.9,3.88,1993
Bimbo Coles,MIA,14.7,-0.3,1.0,5.7,-0.94,1993
Charles Oakley,NYK,12.6,3.7,3.2,7.3,6.13,1993
Ricky Pierce,SEA,19.2,1.0,1.7,7.7,6.73,1993
Xavier McDaniel,BOS,16.3,1.0,1.7,4.4,0.92,1993
Terry Mills,DET,15.5,-1.7,0.2,3.8,-1.04,1993
Charles Smith,NYK,14.9,1.9,2.1,6.6,6.13,1993
Danny Ainge,PHO,14.3,1.7,2.0,6.2,6.17,1993
Michael Cage,SEA,13.2,1.8,2.1,6.2,6.73,1993
Robert Parish,BOS,19.2,0.7,1.4,6.8,0.92,1993
Stacey Augmon,ATL,15.2,-0.3,0.9,3.7,-0.67,1993
Derek Harper,DAL,15.9,-1.1,0.5,2.7,-14.61,1993
Tim Perry,PHI,12.0,-1.7,0.2,2.0,-5.12,1993
Dell Curry,CHH,16.0,-0.7,0.7,3.4,-0.09,1993
Sam Bowie,NJN,13.2,-0.1,1.0,4.3,1.23,1993
Sean Rooks,DAL,14.7,-2.6,-0.3,1.5,-14.61,1993
Gerald Wilkins,CLE,12.9,-1.6,0.2,3.5,6.46,1993
Frank Brickowski,MIL,17.0,0.6,1.4,3.7,-3.52,1993
Rik Smits,IND,14.8,-2.9,-0.5,2.7,1.75,1993
Tyrone Hill,GSW,12.9,-1.0,0.5,4.9,-1.12,1993
Hot Rod Williams,CLE,13.7,0.7,1.4,4.5,6.46,1993
Jay Humphries,UTA,10.5,-1.7,0.2,1.8,1.83,1993
Avery Johnson,SAS,15.8,-1.9,0.1,5.2,2.28,1993
Kenny Anderson,NJN,16.6,1.3,1.7,4.4,1.23,1993
Nate McMillan,SEA,15.1,4.2,3.1,5.6,6.73,1993
Jon Koncak,ATL,9.2,0.7,1.3,3.1,-0.67,1993
Antoine Carr,SAS,16.1,0.6,1.3,5.5,2.28,1993
Bill Laimbeer,DET,14.3,0.5,1.2,5.4,-1.04,1993
Sherman Douglas,BOS,13.5,-2.2,-0.1,2.6,0.92,1993
Todd Day,MIL,14.5,-1.0,0.5,2.6,-3.52,1993
Chris Mullin,GSW,19.0,1.4,1.6,4.9,-1.12,1993
Doc Rivers,NYK,14.6,2.2,2.0,6.5,6.13,1993
Eddie Johnson,SEA,17.1,-1.7,0.1,4.8,6.73,1993
Andrew Lang,PHI,9.3,-1.2,0.4,1.7,-5.12,1993
Tom Tolbert,ORL,10.4,-0.8,0.6,2.7,1.35,1993
Larry Stewart,WSB,14.5,-1.0,0.5,2.9,-6.59,1993
Stanley Roberts,LAC,14.7,-1.7,0.2,3.2,0.23,1993
Carl Herrera,HOU,13.1,-0.9,0.5,4.6,3.88,1993
Mike Iuzzolino,DAL,12.7,-3.7,-0.8,1.5,-14.61,1993
Brad Lohaus,MIL,13.3,-0.9,0.5,2.7,-3.52,1993
Anthony Bonner,SAC,12.3,-0.6,0.6,2.4,-3.04,1993
Kevin Duckworth,POR,11.4,-3.3,-0.6,2.5,2.82,1993
Anthony Bowie,ORL,11.2,-1.6,0.2,2.5,1.35,1993
Dennis Scott,ORL,13.2,0.2,1.0,2.8,1.35,1993
Mario Elie,POR,14.2,0.7,1.2,5.1,2.82,1993
Victor Alexander,GSW,14.3,-1.7,0.1,3.0,-1.12,1993
Armen Gilliam,PHI,17.5,-2.8,-0.3,2.8,-5.12,1993
Duane Ferrell,ATL,13.7,-2.3,-0.1,2.8,-0.67,1993
Mitch Richmond,SAC,15.6,-0.4,0.7,3.1,-3.04,1993
Randy Brown,SAC,11.3,-0.7,0.6,1.9,-3.04,1993
Tom Chambers,PHO,14.7,-2.0,0.0,4.5,6.17,1993
Jerome Kersey,POR,13.7,0.1,0.9,3.4,2.82,1993
David Benoit,UTA,11.3,-2.7,-0.3,2.3,1.83,1993
Pervis Ellison,WSB,18.5,1.3,1.4,3.9,-6.59,1993
Greg Anthony,NYK,13.7,0.9,1.3,4.6,6.13,1993
Byron Scott,LAL,14.4,-1.4,0.3,3.3,-1.31,1993
Walt Williams,SAC,15.0,0.2,0.9,1.6,-3.04,1993
Clyde Drexler,POR,20.7,5.8,3.3,6.0,2.82,1993
Kevin McHale,BOS,14.4,-2.3,-0.1,2.8,0.92,1993
Anthony Peeler,LAL,13.9,-1.3,0.3,2.7,-1.31,1993
Loy Vaught,LAC,16.0,-2.0,0.0,4.2,0.23,1993
Kevin Johnson,PHO,18.1,0.0,0.8,5.1,6.17,1993
John Williams,LAC,10.5,-0.8,0.5,1.9,0.23,1993
Donald Royal,ORL,14.5,0.0,0.8,5.1,1.35,1993
Gary Grant,LAC,11.7,-2.5,-0.2,1.6,0.23,1993
Terrell Brandon,CLE,16.7,-0.1,0.8,3.9,6.46,1993
Steve Smith,MIA,16.1,1.5,1.4,3.5,-0.94,1993
Cedric Ceballos,PHO,21.0,1.3,1.3,6.2,6.17,1993
Brian Shaw,MIA,11.3,-0.6,0.6,1.8,-0.94,1993
Johnny Dawkins,PHI,14.6,-2.9,-0.4,1.7,-5.12,1993
J.R. Reid,SAS,12.6,-2.2,-0.1,3.0,2.28,1993
Sam Perkins,LAL,16.2,1.0,1.2,4.2,-1.31,1993
Marcus Liberty,DEN,12.5,-1.7,0.1,2.2,-2.19,1993
Rumeal Robinson,NJN,13.7,-0.9,0.4,1.9,1.23,1993
Robert Pack,DEN,16.4,-1.0,0.4,3.1,-2.19,1993
Walter Bond,DAL,9.0,-4.5,-1.0,-0.8,-14.61,1993
Lloyd Daniels,SAS,12.9,-0.4,0.6,1.8,2.28,1993
Mark West,PHO,11.4,-1.1,0.3,3.4,6.17,1993
Mike Brown,UTA,9.4,-2.5,-0.2,1.5,1.83,1993
Elden Campbell,LAL,14.2,-1.9,0.1,2.6,-1.31,1993
Adam Keefe,ATL,13.6,-0.9,0.4,3.3,-0.67,1993
LaBradford Smith,WSB,10.9,-4.5,-1.0,0.8,-6.59,1993
Bob McCann,MIN,10.9,-2.9,-0.3,1.3,-8.07,1993
Vinny Del Negro,SAS,13.9,-1.2,0.3,3.5,2.28,1993
Doug Smith,DAL,10.3,-4.1,-0.8,-0.9,-14.61,1993
Scott Brooks,HOU,14.1,-0.7,0.5,4.6,3.88,1993
Paul Graham,ATL,12.7,-0.9,0.4,1.9,-0.67,1993
Vern Fleming,IND,15.7,-0.6,0.5,2.9,1.75,1993
Lee Mayberry,MIL,11.0,-3.6,-0.6,1.8,-3.52,1993
George McCloud,IND,11.2,-1.1,0.3,1.4,1.75,1993
Fred Roberts,MIL,15.5,-0.1,0.7,3.9,-3.52,1993
Jeff Turner,ORL,11.4,-1.1,0.3,3.1,1.35,1993
Orlando Woolridge,DET,13.4,-1.0,0.4,2.2,-1.04,1993
Kenny Gattison,CHH,12.5,-0.3,0.6,3.2,-0.09,1993
Johnny Newman,CHH,15.5,-0.3,0.6,3.7,-0.09,1993
David Wingate,CHH,11.5,-0.7,0.5,2.3,-0.09,1993
Danny Ferry,CLE,14.0,0.2,0.8,3.6,6.46,1993
Rolando Blackman,NYK,10.6,-1.8,0.1,2.9,6.13,1993
Randy White,DAL,13.2,-3.0,-0.4,0.8,-14.61,1993
Rod Higgins,SAC,12.5,-0.9,0.4,2.5,-3.04,1993
John Salley,MIA,11.9,0.7,1.0,2.5,-0.94,1993
Sam Mitchell,IND,11.9,-2.9,-0.3,2.8,1.75,1993
Chris Dudley,NJN,9.9,-2.8,-0.3,2.2,1.23,1993
Mark Bryant,POR,11.2,-1.8,0.1,3.2,2.82,1993
Harold Miner,MIA,14.3,-3.7,-0.6,2.0,-0.94,1993
Scott Williams,CHI,14.6,0.5,0.9,3.9,6.51,1993
Larry Krystkowiak,UTA,11.7,-1.8,0.1,2.6,1.83,1993
Matt Bullard,HOU,13.6,0.2,0.8,3.4,3.88,1993
Richard Dumas,PHO,18.6,1.4,1.1,3.9,6.17,1993
Rex Chapman,WSB,15.1,-3.2,-0.4,1.9,-6.59,1993
Olden Polynice,DET,14.6,-2.6,-0.2,2.6,-1.04,1993
Felton Spencer,MIN,8.2,-4.3,-0.7,1.1,-8.07,1993
Brian Howard,DAL,9.7,-3.8,-0.6,0.3,-14.61,1993
Jud Buechler,GSW,11.5,-1.3,0.2,1.8,-1.12,1993
Buck Johnson,WSB,10.7,-3.3,-0.4,1.2,-6.59,1993
Thurl Bailey,MIN,12.9,-4.9,-0.9,1.2,-8.07,1993
Byron Houston,GSW,10.6,-1.6,0.1,1.8,-1.12,1993
Donald Hodge,DAL,8.3,-5.3,-1.1,-0.9,-14.61,1993
Chris Smith,MIN,11.1,-4.6,-0.8,1.1,-8.07,1993
Ron Anderson,PHI,11.8,-3.9,-0.6,0.5,-5.12,1993
Bill Cartwright,CHI,8.3,-3.8,-0.6,1.2,6.51,1993
Chris Gatling,GSW,16.8,-1.3,0.2,3.1,-1.12,1993
Dana Barros,SEA,15.0,0.3,0.7,3.5,6.73,1993
Duane Causwell,SAC,14.2,-0.5,0.5,2.9,-3.04,1993
Charles Jones,WSB,7.8,-0.8,0.4,1.6,-6.59,1993
Billy Owens,GSW,16.9,1.5,1.0,2.2,-1.12,1993
Mike Sanders,CLE,11.8,-1.4,0.2,2.0,6.46,1993
Chucky Brown,NJN,11.2,-2.2,-0.1,2.2,1.23,1993
Rafael Addison,NJN,8.4,-4.2,-0.6,0.9,1.23,1993
Alaa Abdelnaby,BOS,13.4,-3.7,-0.5,1.9,0.92,1993
Mark Macon,DEN,8.8,-2.7,-0.2,0.5,-2.19,1993
Kevin Edwards,MIA,17.1,0.9,0.8,2.5,-0.94,1993
Joe Kleine,BOS,9.6,-2.8,-0.2,1.5,0.92,1993
Danny Schayes,MIL,10.6,-2.8,-0.2,1.4,-3.52,1993
Frank Johnson,PHO,10.8,-2.0,0.0,1.5,6.17,1993
Mark Eaton,UTA,8.7,-0.8,0.3,1.9,1.83,1993
Rick Fox,BOS,14.7,1.0,0.8,2.1,0.92,1993
Rick Mahorn,NJN,10.3,-2.1,0.0,2.3,1.23,1993
Oliver Miller,PHO,12.7,1.3,0.9,1.6,6.17,1993
Alvin Robertson,MIL,13.6,1.4,0.9,1.6,-3.52,1993
Tony Campbell,NYK,11.6,-0.7,0.3,2.5,6.13,1993
Stacey King,CHI,12.8,-1.9,0.0,1.9,6.51,1993
Mark Aguirre,DET,13.7,-1.5,0.1,1.8,-1.04,1993
Vincent Askew,SEA,13.4,0.0,0.5,2.6,6.73,1993
Luc Longley,MIN,10.7,-2.5,-0.1,0.2,-8.07,1993
John Paxson,CHI,9.3,-3.6,-0.4,1.9,6.51,1993
Jeff Grayer,GSW,12.0,-2.0,0.0,1.5,-1.12,1993
Rodney McCray,CHI,7.6,-3.5,-0.4,0.9,6.51,1993
Winston Garland,HOU,12.2,-2.6,-0.2,1.8,3.88,1993
Will Perdue,CHI,14.8,-0.2,0.5,2.5,6.51,1993
Greg Grant,PHI,8.7,-6.0,-1.0,0.2,-5.12,1993
Doug Overton,WSB,11.8,-3.9,-0.5,0.6,-6.59,1993
Alvin Robertson,DET,12.7,3.3,1.3,1.7,-1.04,1993
Jim Jackson,DAL,11.0,-3.0,-0.2,-1.6,-14.61,1993
Keith Askins,MIA,9.3,-1.1,0.2,1.4,-0.94,1993
Trent Tucker,CHI,14.1,-1.0,0.2,2.8,6.51,1993
Negele Knight,PHO,8.9,-5.6,-0.8,0.1,6.17,1993
Dexter Cambridge,DAL,12.1,-3.3,-0.3,0.4,-14.61,1993
Jim Les,SAC,14.7,-0.4,0.3,2.3,-3.04,1993
Sleepy Floyd,HOU,12.1,-3.2,-0.3,1.0,3.88,1993
Bryant Stith,DEN,11.7,-2.8,-0.2,1.6,-2.19,1993
Brent Price,WSB,9.3,-4.5,-0.5,-0.6,-6.59,1993
Tony Bennett,CHH,9.3,-4.0,-0.4,0.7,-0.09,1993
Manute Bol,PHI,8.5,-2.6,-0.1,0.2,-5.12,1993
Kenny Williams,IND,17.7,0.7,0.6,2.7,1.75,1993
Sarunas Marciulionis,GSW,20.4,2.1,0.9,3.0,-1.12,1993
Danny Young,DET,10.4,-2.8,-0.2,1.4,-1.04,1993
Pete Chilcutt,SAC,13.4,-2.1,0.0,1.0,-3.04,1993
Larry Smith,SAS,7.1,-0.6,0.3,1.2,2.28,1993
Hubert Davis,NYK,8.7,-3.0,-0.2,1.2,6.13,1993
Travis Mays,ATL,10.1,-4.9,-0.6,0.3,-0.67,1993
Kurt Rambis,SAC,11.6,0.0,0.4,1.7,-3.04,1993
Gerald Glass,DET,12.9,-0.6,0.3,1.2,-1.04,1993
Sam Perkins,SEA,16.9,1.2,0.6,2.8,6.73,1993
Todd Lichti,DEN,12.9,-2.9,-0.2,1.2,-2.19,1993
Tony Smith,LAL,15.2,-0.5,0.3,1.5,-1.31,1993
Gary Plummer,DEN,8.6,-4.9,-0.5,0.4,-2.19,1993
LaSalle Thompson,IND,10.7,-2.2,0.0,0.9,1.75,1993
Steve Henson,ATL,11.3,-3.6,-0.3,1.1,-0.67,1993
Don MacLean,WSB,14.0,-7.1,-0.9,0.4,-6.59,1993
Malik Sealy,IND,12.7,-2.9,-0.2,0.2,1.75,1993
Scott Hastings,DEN,8.3,-2.7,-0.1,1.3,-2.19,1993
Duane Cooper,LAL,7.6,-7.6,-0.9,-0.4,-1.31,1993
Lance Blanks,MIN,8.4,-4.8,-0.5,0.2,-8.07,1993
Morlon Wiley,DAL,10.3,-2.2,0.0,0.3,-14.61,1993
Greg Kite,ORL,5.3,-3.5,-0.2,0.6,1.35,1993
Tim Legler,DAL,13.3,-2.3,0.0,0.8,-14.61,1993
Litterial Green,ORL,11.6,-4.6,-0.4,0.8,1.35,1993
James Edwards,LAL,11.2,-6.1,-0.6,0.4,-1.31,1993
David Wood,SAS,8.7,-1.3,0.1,1.0,2.28,1993
Sean Higgins,GSW,9.2,-4.2,-0.3,-0.1,-1.12,1993
Kevin Brooks,DEN,8.4,-6.6,-0.7,0.0,-2.19,1993
Tom Hammonds,DEN,10.3,-4.0,-0.3,0.7,-2.19,1993
Herb Williams,NYK,10.1,-1.6,0.1,1.1,6.13,1993
Charles Shackleford,PHI,13.1,-3.3,-0.2,0.9,-5.12,1993
Willie Anderson,SAS,8.7,-4.7,-0.4,-0.1,2.28,1993
Matt Geiger,MIA,11.8,-2.6,-0.1,1.2,-0.94,1993
Jon Barry,MIL,9.6,-4.5,-0.3,-0.1,-3.52,1993
Brad Sellers,MIN,8.4,-5.7,-0.5,0.0,-8.07,1993
Marlon Maxey,MIN,15.8,-4.3,-0.3,0.9,-8.07,1993
Maurice Cheeks,NJN,13.9,-1.9,0.0,1.3,1.23,1993
Tracy Moore,DAL,14.8,-2.8,-0.1,0.5,-14.61,1993
John Battle,CLE,11.1,-6.6,-0.6,0.5,6.46,1993
Tracy Murray,POR,11.9,-5.6,-0.5,0.5,2.82,1993
Kiki Vandeweghe,LAC,13.8,-3.7,-0.2,1.1,0.23,1993
Marty Conlon,SAC,15.9,-2.0,0.0,1.0,-3.04,1993
Willie Burton,MIA,10.3,-4.9,-0.3,0.1,-0.94,1993
Benoit Benjamin,SEA,14.7,-2.9,-0.1,0.9,6.73,1993
Steve Kerr,ORL,8.6,-4.5,-0.3,0.4,1.35,1993
Bernard King,NJN,15.7,-1.8,0.0,1.2,1.23,1993
Lester Conner,LAC,11.3,-0.3,0.2,0.8,0.23,1993
Alec Kessler,MIA,11.5,-4.1,-0.2,0.8,-0.94,1993
Andre Spencer,GSW,13.5,-1.4,0.1,0.7,-1.12,1993
Tate George,NJN,7.9,-6.8,-0.5,-0.1,1.23,1993
Darrell Walker,CHI,8.9,-1.5,0.0,0.6,6.51,1993
Dave Johnson,POR,8.1,-7.7,-0.5,-0.1,2.82,1993
Morlon Wiley,ATL,9.3,-2.5,0.0,0.2,-0.67,1993
Jaren Jackson,LAC,11.3,-2.7,-0.1,0.4,0.23,1993
Kennard Winchester,HOU,11.2,-4.6,-0.2,0.4,3.88,1993
Derek Strong,MIL,20.0,-1.5,0.0,1.5,-3.52,1993
Jerrod Mustaf,PHO,12.7,-4.4,-0.2,0.5,6.17,1993
Doug Christie,LAL,12.4,-1.1,0.1,0.1,-1.31,1993
Kevin Lynch,CHH,7.6,-3.3,-0.1,0.2,-0.09,1993
Melvin Newbern,DET,11.5,-1.8,0.0,0.0,-1.04,1993
Gerald Paddio,SEA,16.3,-1.6,0.0,0.6,6.73,1993
Isaac Austin,UTA,11.4,-4.5,-0.2,0.3,1.83,1993
Benoit Benjamin,LAL,11.0,-5.8,-0.3,0.0,-1.31,1993
J.R. Reid,CHH,12.3,-2.2,0.0,0.4,-0.09,1993
Blair Rasmussen,ATL,4.8,-6.3,-0.3,0.0,-0.67,1993
Elmore Spencer,LAC,9.7,-4.8,-0.2,0.2,0.23,1993
Paul Pressey,GSW,8.4,-3.5,-0.1,0.1,-1.12,1993
Sam Mack,SAS,13.7,-2.9,-0.1,0.3,2.28,1993
Terry Catledge,ORL,8.5,-5.5,-0.2,0.1,1.35,1993
Stephen Howard,UTA,9.8,-3.7,-0.1,0.1,1.83,1993
Mike Gminski,CHH,14.1,-3.6,-0.1,0.5,-0.09,1993
Tree Rollins,HOU,5.2,-4.2,-0.1,0.2,3.88,1993
Mark Acres,WSB,9.8,-3.3,-0.1,0.4,-6.59,1993
John Crotty,UTA,13.2,-3.9,-0.1,0.3,1.83,1993
